n,x,area,density,velocity,temperature,pressure,mach,mass_flow
0,0,5.95,1,0.0991597,1,1,0.0991597,0.59
1,0.0333333,5.73244,0.999644,0.107189,0.999863,0.999507,0.107197,0.614238
2,0.0666667,5.51978,0.999218,0.11135,0.999716,0.998934,0.111366,0.614149
3,0.1,5.312,0.998798,0.115705,0.999537,0.998335,0.115732,0.613887
4,0.133333,5.10911,0.998325,0.120305,0.999327,0.997654,0.120346,0.613621
5,0.166667,4.91111,0.997791,0.125138,0.999125,0.996919,0.125193,0.613211
6,0.2,4.718,0.997195,0.130244,0.998896,0.996094,0.130317,0.612768
7,0.233333,4.52978,0.996559,0.135626,0.998626,0.99519,0.13572,0.612241
8,0.266667,4.34644,0.995846,0.141316,0.998328,0.994181,0.141435,0.611671
9,0.3,4.168,0.995039,0.147329,0.998017,0.993066,0.147476,0.611021
10,0.333333,3.99444,0.99414,0.153695,0.997669,0.991823,0.153875,0.610327
11,0.366667,3.82578,0.993157,0.160435,0.997268,0.990443,0.160656,0.60959
12,0.4,3.662,0.992069,0.167583,0.996809,0.988904,0.167852,0.608821
13,0.433333,3.50311,0.990845,0.175166,0.996309,0.987188,0.175492,0.608008
14,0.466667,3.34911,0.989465,0.18322,0.995762,0.985272,0.183611,0.607158
15,0.5,3.2,0.987915,0.191778,0.995157,0.983131,0.192247,0.606274
16,0.533333,3.05578,0.986193,0.200881,0.994468,0.980737,0.201442,0.605374
17,0.566667,2.91644,0.984273,0.21057,0.993686,0.978059,0.21124,0.604457
18,0.6,2.782,0.982128,0.220888,0.992802,0.975059,0.221691,0.603529
19,0.633333,2.65244,0.979716,0.231885,0.991815,0.971696,0.232843,0.602585
20,0.666667,2.52778,0.976996,0.243609,0.990716,0.967925,0.244752,0.601625
21,0.7,2.408,0.973936,0.256116,0.989484,0.963694,0.257478,0.600653
22,0.733333,2.29311,0.970491,0.269462,0.988102,0.958945,0.271084,0.599673
23,0.766667,2.18311,0.966627,0.283707,0.986536,0.953613,0.285642,0.598694
24,0.8,2.078,0.962285,0.298913,0.984767,0.947627,0.301223,0.597716
25,0.833333,1.97778,0.957414,0.315148,0.982761,0.940909,0.317907,0.596749
26,0.866667,1.88244,0.951939,0.332477,0.980497,0.933373,0.335775,0.59579
27,0.9,1.792,0.945789,0.350972,0.977943,0.924928,0.354916,0.594846
28,0.933333,1.70644,0.938881,0.3707,0.975068,0.915473,0.375419,0.593917
29,0.966667,1.62578,0.931132,0.391732,0.971834,0.904905,0.397378,0.593008
30,1,1.55,0.922449,0.41413,0.968196,0.893112,0.420888,0.592122
31,1.03333,1.47911,0.912737,0.437956,0.964111,0.87998,0.446045,0.591258
32,1.06667,1.41311,0.901903,0.463261,0.959522,0.865395,0.472944,0.590421
33,1.1,1.352,0.889843,0.490085,0.954379,0.849247,0.501675,0.589605
34,1.13333,1.29578,0.876469,0.518455,0.948618,0.831434,0.532326,0.588814
35,1.16667,1.24444,0.861685,0.548383,0.942189,0.81187,0.564973,0.588041
36,1.2,1.198,0.84542,0.57986,0.935032,0.790494,0.599685,0.58729
37,1.23333,1.15644,0.827612,0.612856,0.927095,0.767275,0.636517,0.586557
38,1.26667,1.11978,0.808224,0.647317,0.918335,0.74222,0.675508,0.585842
39,1.3,1.088,0.787254,0.683161,0.908708,0.715384,0.71668,0.58515
40,1.33333,1.06111,0.764725,0.720278,0.898196,0.686873,0.760027,0.584475
41,1.36667,1.03911,0.740713,0.75853,0.886776,0.656846,0.805528,0.583827
42,1.4,1.022,0.715324,0.797743,0.874461,0.625523,0.853116,0.583199
43,1.43333,1.00978,0.688727,0.837704,0.861279,0.593186,0.902681,0.582591
44,1.46667,1.00244,0.661322,0.877925,0.847348,0.56037,0.953766,0.58201
45,1.5,1,0.629379,0.923787,0.83074,0.52285,1.01358,0.581412
46,1.53333,1.00244,0.599771,0.965897,0.814744,0.48866,1.07014,0.580733
47,1.56667,1.00978,0.571355,1.00536,0.799228,0.456643,1.12458,0.580033
48,1.6,1.022,0.548874,1.03503,0.786225,0.431538,1.16723,0.580599
49,1.63333,1.03911,0.525183,1.06508,0.772881,0.405904,1.21147,0.581237
50,1.66667,1.06111,0.495756,1.10553,0.754413,0.374005,1.27296,0.581569
51,1.7,1.088,0.45796,1.1601,0.731853,0.335159,1.35615,0.578031
52,1.73333,1.11978,0.438048,1.18432,0.717751,0.314409,1.39802,0.580927
53,1.76667,1.15644,0.401262,1.24021,0.694244,0.278574,1.48857,0.575502
54,1.8,1.198,0.385607,1.25634,0.681953,0.262966,1.52136,0.580374
55,1.83333,1.24444,0.352257,1.30938,0.659117,0.232178,1.61293,0.573983
56,1.86667,1.29578,0.339662,1.31972,0.647897,0.220066,1.63965,0.580844
57,1.9,1.352,0.30506,1.38136,0.622596,0.189929,1.75067,0.569731
58,1.93333,1.41311,0.303853,1.36455,0.619116,0.18812,1.73463,0.58591
59,1.96667,1.47911,0.255119,1.47452,0.578627,0.147619,1.93789,0.55641
60,2,1.55,0.283903,1.36932,0.604195,0.171533,1.76218,0.602569
61,2.03333,1.62578,0.204241,1.60326,0.516868,0.105566,2.2297,0.532362
62,2.06667,1.70644,0.277008,1.32131,0.617789,0.171133,1.68108,0.624581
63,2.1,1.792,0.163037,1.76332,0.415289,0.0677073,2.74519,0.515175
64,2.13333,1.88244,0.438044,0.741773,0.895265,0.392165,0.786381,0.611661
65,2.16667,1.97778,0.679813,0.31504,1.03996,0.706981,0.309026,0.423578
66,2.2,2.078,0.56269,0.483137,0.966866,0.544045,0.491569,0.564918
67,2.23333,2.18311,0.668194,0.312271,1.01729,0.679748,0.309778,0.455523
68,2.26667,2.29311,0.63002,0.361952,0.985811,0.621081,0.364585,0.522914
69,2.3,2.408,0.663193,0.297895,1.00681,0.667708,0.296966,0.475729
70,2.33333,2.52778,0.657337,0.297741,0.998007,0.656027,0.298069,0.494727
71,2.36667,2.65244,0.666914,0.271623,1.00344,0.669205,0.271159,0.480488
72,2.4,2.782,0.661749,0.260084,1.01096,0.668999,0.258702,0.478811
73,2.43333,2.91644,0.672883,0.241404,1.00475,0.676076,0.240879,0.473738
74,2.46667,3.05578,0.671992,0.229748,1.0073,0.676899,0.228893,0.471779
75,2.5,3.2,0.666259,0.216412,1.02052,0.679932,0.214206,0.461397
76,2.53333,3.34911,0.666622,0.20668,1.02011,0.680028,0.204656,0.461431
77,2.56667,3.50311,0.672091,0.195602,1.01477,0.682019,0.194214,0.460527
78,2.6,3.662,0.680093,0.186875,1.00327,0.682315,0.186614,0.465412
79,2.63333,3.82578,0.687957,0.178011,0.993161,0.683253,0.178634,0.468519
80,2.66667,3.99444,0.684713,0.170429,0.998032,0.683365,0.170591,0.466133
81,2.7,4.168,0.684558,0.1628,0.998987,0.683864,0.162892,0.464507
82,2.73333,4.34644,0.688719,0.155974,0.992903,0.683832,0.156537,0.466904
83,2.76667,4.52978,0.68719,0.149541,0.994798,0.683616,0.149925,0.465494
84,2.8,4.718,0.683738,0.143707,0.998957,0.683024,0.143782,0.463581
85,2.83333,4.91111,0.686113,0.138139,0.994452,0.682307,0.138536,0.46547
86,2.86667,5.10911,0.691106,0.132823,0.986159,0.68154,0.133744,0.468989
87,2.9,5.312,0.678268,0.127683,1.00365,0.680746,0.127418,0.460037
88,2.93333,5.51978,0.663057,0.12284,1.02555,0.679999,0.121286,0.449586
89,2.96667,5.73244,0.664945,0.118262,1.02142,0.679189,0.117021,0.450786
90,3,5.95,0.666403,0.113758,1.018,0.6784,0.112769,0.451061
